HEADING,PITCH,ROLL,TEMP,DEPTH,Ax,Ay,Az,Vh,NetV,NetA
84.7,0.39999962,0.8999939,0,0.0,0.0010187626,-0.028707214,-0.029688433,0.014362643,-0.37144396,9.999275E-4
84.7,0.39999962,0.8999939,0,0.0,0.0010187626,-0.028707214,-0.029688433,0.014362643,-0.3767283,0.0
84.6,0.39999962,0.8999939,0,0.0,0.0010187626,-0.028707214,-0.029688433,0.014362643,-0.38201264,0.0
84.6,0.39999962,0.8999939,0,0.0,0.0010187626,-0.028707214,-0.028688446,0.014362643,-0.38724935,0.0
84.6,0.39999962,0.8999939,0,0.0,0.0020187497,-0.028707214,-0.028688446,0.014389054,-0.3924861,-0.0010000467
84.6,0.39999962,0.69999695,0,0.0,0.0010187626,-0.02421695,-0.024198197,0.012119184,-0.397509,-0.0010000467
84.6,0.39999962,0.69999695,0,0.0,0.0020187497,-0.02421695,-0.024198197,0.012150473,-0.40253192,-0.0020000339
84.6,0.39999962,0.69999695,0,0.0,0.0020187497,-0.02421695,-0.025198184,0.012150473,-0.40760246,-0.0010000467
84.6,0.39999962,0.69999695,0,0.0,0.0020187497,-0.025216952,-0.025198184,0.012648814,-0.412673,-0.0010000467
84.6,0.39999962,0.69999695,0,0.0,0.0010187626,-0.025216952,-0.025198184,0.0126187615,-0.41774353,-0.0010000467
84.6,0.39999962,0.69999695,0,0.0,0.0010187626,-0.025216952,-0.024198197,0.0126187615,-0.42276645,-0.0010000467
84.7,0.39999962,0.69999695,0,0.0,0.0010187626,-0.025216952,-0.024198197,0.0126187615,-0.42778936,-0.0010000467
84.7,0.39999962,0.69999695,0,0.0,0.0010187626,-0.025216952,-0.025198184,0.0126187615,-0.4328599,-0.0010000467
84.7,0.39999962,0.69999695,0,0.0,0.0010187626,-0.025216952,-0.025198184,0.0126187615,-0.43793043,0.0
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.02694347,0.013990397,-0.44308406,0.0
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.027943457,0.013990397,-0.4482853,0.0
